"NSDUH_data.ID" "NSDUH_data.IRSEX" "NSDUH_data.CATAGE"
"1" 1 1 4
"2" 2 2 4
"3" 3 1 3
"4" 4 2 2
"5" 5 1 2
"6" 6 1 4
"7" 7 2 2
"8" 8 1 4
"9" 9 2 3
"10" 10 2 4
"11" 11 2 4
"12" 12 1 4
"13" 13 2 4
"14" 14 2 3
"15" 15 1 3
"16" 16 1 1
"17" 17 1 2
"18" 18 1 4
"19" 19 2 4
"20" 20 1 3
"21" 21 1 1
"22" 22 1 2
"23" 23 2 1
"24" 24 1 4
"25" 25 1 4
"26" 26 1 4
"27" 27 1 2
"28" 28 2 3
"29" 29 2 2
"30" 30 2 4
"31" 31 1 3
"32" 32 2 3
"33" 33 1 3
"34" 34 2 3
"35" 35 1 4
"36" 36 2 3
"37" 37 2 4
"38" 38 1 4
"39" 39 1 3
"40" 40 2 3
"41" 41 2 1
"42" 42 2 2
"43" 43 1 1
"44" 44 1 4
"45" 45 2 4
"46" 46 2 3
"47" 47 2 4
"48" 48 1 1
"49" 49 2 4
"50" 50 1 2
"51" 51 1 4
"52" 52 2 1
"53" 53 1 1
"54" 54 1 2
"55" 55 1 3
"56" 56 1 1
"57" 57 1 3
"58" 58 2 4
"59" 59 2 4
"60" 60 1 4
"61" 61 1 1
"62" 62 2 4
"63" 63 2 1
"64" 64 2 4
"65" 65 1 1
"66" 66 2 2
"67" 67 1 4
"68" 68 2 2
"69" 69 2 4
"70" 70 1 3
"71" 71 1 4
"72" 72 2 4
"73" 73 2 1
"74" 74 2 3
"75" 75 2 1
"76" 76 1 4
"77" 77 2 4
"78" 78 1 4
"79" 79 2 2
"80" 80 1 2
"81" 81 2 4
"82" 82 1 1
"83" 83 2 4
"84" 84 1 2
"85" 85 2 4
"86" 86 2 4
"87" 87 2 1
"88" 88 1 4
"89" 89 2 2
"90" 90 1 2
"91" 91 2 4
"92" 92 1 1
"93" 93 2 4
"94" 94 2 1
"95" 95 2 4
"96" 96 2 4
"97" 97 1 4
"98" 98 1 3
"99" 99 2 4
"100" 100 2 1
"101" 101 1 2
"102" 102 1 2
"103" 103 1 4
"104" 104 2 4
"105" 105 1 1
"106" 106 2 4
"107" 107 1 4
"108" 108 2 3
"109" 109 2 3
"110" 110 2 1
"111" 111 2 4
"112" 112 1 4
"113" 113 1 1
"114" 114 2 4
"115" 115 2 2
"116" 116 2 3
"117" 117 1 1
"118" 118 1 1
"119" 119 1 2
"120" 120 2 1
"121" 121 2 3
"122" 122 1 3
"123" 123 2 1
"124" 124 1 1
"125" 125 1 3
"126" 126 2 4
"127" 127 2 2
"128" 128 2 1
"129" 129 1 1
"130" 130 1 3
"131" 131 1 2
"132" 132 1 2
"133" 133 1 3
"134" 134 2 2
"135" 135 1 1
"136" 136 2 4
"137" 137 1 1
"138" 138 2 2
"139" 139 1 2
"140" 140 2 3
"141" 141 2 1
"142" 142 1 2
"143" 143 2 4
"144" 144 1 4
"145" 145 1 3
"146" 146 1 1
"147" 147 1 4
"148" 148 1 1
"149" 149 2 2
"150" 150 1 2
"151" 151 1 2
"152" 152 2 2
"153" 153 1 2
"154" 154 1 4
"155" 155 2 2
"156" 156 1 4
"157" 157 1 4
"158" 158 1 3
"159" 159 2 2
"160" 160 1 4
"161" 161 2 4
"162" 162 1 4
"163" 163 1 2
"164" 164 1 4
"165" 165 1 4
"166" 166 1 2
"167" 167 2 4
"168" 168 1 1
"169" 169 2 2
"170" 170 1 1
"171" 171 1 2
"172" 172 2 1
"173" 173 1 2
"174" 174 1 4
"175" 175 2 1
"176" 176 2 4
"177" 177 2 2
"178" 178 2 2
"179" 179 2 1
"180" 180 1 1
"181" 181 2 3
"182" 182 1 1
"183" 183 2 4
