"NSDUH_data.ID" "NSDUH_data.NEWRACE" "NSDUH_data.NEWRACE2"
"1" 1 1 1
"2" 2 5 5
"3" 3 1 1
"4" 4 1 1
"5" 5 1 1
"6" 6 2 2
"7" 7 1 1
"8" 8 1 1
"9" 9 5 5
"10" 10 2 2
"11" 11 2 2
"12" 12 1 1
"13" 13 1 1
"14" 14 1 1
"15" 15 1 1
"16" 16 1 1
"17" 17 6 6
"18" 18 1 1
"19" 19 1 1
"20" 20 7 7
"21" 21 1 1
"22" 22 7 7
"23" 23 2 2
"24" 24 1 1
"25" 25 1 1
"26" 26 1 1
"27" 27 2 2
"28" 28 1 1
"29" 29 1 1
"30" 30 1 1
"31" 31 7 7
"32" 32 7 7
"33" 33 1 1
"34" 34 1 1
"35" 35 1 1
"36" 36 2 2
"37" 37 1 1
"38" 38 1 1
"39" 39 1 1
"40" 40 1 1
"41" 41 7 7
"42" 42 1 1
"43" 43 1 1
"44" 44 7 7
"45" 45 1 1
"46" 46 7 7
"47" 47 1 1
"48" 48 1 1
"49" 49 1 1
"50" 50 7 7
"51" 51 2 2
"52" 52 2 2
"53" 53 1 1
"54" 54 7 7
"55" 55 7 7
"56" 56 7 7
"57" 57 5 5
"58" 58 7 7
"59" 59 1 1
"60" 60 1 1
"61" 61 1 1
"62" 62 2 2
"63" 63 2 2
"64" 64 1 1
"65" 65 1 1
"66" 66 1 1
"67" 67 1 1
"68" 68 1 1
"69" 69 1 1
"70" 70 1 1
"71" 71 1 1
"72" 72 2 2
"73" 73 1 1
"74" 74 1 1
"75" 75 7 7
"76" 76 7 7
"77" 77 2 2
"78" 78 2 2
"79" 79 2 2
"80" 80 1 1
"81" 81 2 2
"82" 82 7 7
"83" 83 2 2
"84" 84 1 1
"85" 85 2 2
"86" 86 1 1
"87" 87 1 1
"88" 88 7 7
"89" 89 1 1
"90" 90 7 7
"91" 91 1 1
"92" 92 1 1
"93" 93 1 1
"94" 94 2 2
"95" 95 1 1
"96" 96 1 1
"97" 97 1 1
"98" 98 5 5
"99" 99 1 1
"100" 100 1 1
"101" 101 5 5
"102" 102 7 7
"103" 103 7 7
"104" 104 5 5
"105" 105 2 2
"106" 106 1 1
"107" 107 1 1
"108" 108 1 1
"109" 109 2 2
"110" 110 1 1
"111" 111 6 6
"112" 112 7 7
"113" 113 1 1
"114" 114 7 7
"115" 115 6 6
"116" 116 1 1
"117" 117 7 7
"118" 118 7 7
"119" 119 5 5
"120" 120 1 1
"121" 121 7 7
"122" 122 1 1
"123" 123 1 1
"124" 124 1 1
"125" 125 1 1
"126" 126 1 1
"127" 127 1 1
"128" 128 6 6
"129" 129 1 1
"130" 130 2 2
"131" 131 2 2
"132" 132 1 1
"133" 133 1 1
"134" 134 6 6
"135" 135 1 1
"136" 136 2 2
"137" 137 1 1
"138" 138 1 1
"139" 139 1 1
"140" 140 1 1
"141" 141 1 1
"142" 142 1 1
"143" 143 1 1
"144" 144 4 4
"145" 145 2 2
"146" 146 6 6
"147" 147 1 1
"148" 148 1 1
"149" 149 2 2
"150" 150 7 7
"151" 151 1 1
"152" 152 7 7
"153" 153 1 1
"154" 154 1 1
"155" 155 1 1
"156" 156 1 1
"157" 157 1 1
"158" 158 2 2
"159" 159 1 1
"160" 160 1 1
"161" 161 1 1
"162" 162 1 1
"163" 163 7 7
"164" 164 1 1
"165" 165 1 1
"166" 166 7 7
"167" 167 2 2
"168" 168 7 7
"169" 169 1 1
"170" 170 2 2
"171" 171 7 7
"172" 172 6 6
"173" 173 6 6
"174" 174 1 1
"175" 175 7 7
"176" 176 1 1
"177" 177 1 1
"178" 178 7 7
"179" 179 7 7
"180" 180 1 1
"181" 181 1 1
"182" 182 1 1
"183" 183 1 1
"184" 184 7 7
"185" 185 1 1
"186" 186 2 2
"187" 187 7 7
"188" 188 1 1
"189" 189 1 1
"190" 190 1 1
"191" 191 1 1
"192" 192 1 1
"193" 193 1 1
"194" 194 2 2
"195" 195 1 1
"196" 196 6 6
"197" 197 7 7
"198" 198 1 1
"199" 199 1 1
"200" 200 1 1
"201" 201 1 1
"202" 202 7 7
"203" 203 2 2
"204" 204 1 1
"205" 205 1 1
"206" 206 7 7
"207" 207 6 6
"208" 208 1 1
"209" 209 1 1
"210" 210 1 1
"211" 211 1 1
"212" 212 1 1
"213" 213 1 1
"214" 214 1 1
"215" 215 1 1
"216" 216 7 7
"217" 217 1 1
"218" 218 1 1
"219" 219 1 1
"220" 220 1 1
"221" 221 7 7
"222" 222 1 1
"223" 223 1 1
"224" 224 2 2
"225" 225 7 7
"226" 226 6 6
"227" 227 1 1
"228" 228 7 7
"229" 229 2 2
"230" 230 7 7
"231" 231 7 7
"232" 232 1 1
"233" 233 4 4
"234" 234 2 2
"235" 235 7 7
"236" 236 1 1
"237" 237 7 7
"238" 238 7 7
"239" 239 7 7
"240" 240 1 1
"241" 241 1 1
"242" 242 1 1
"243" 243 1 1
"244" 244 1 1
"245" 245 7 7
"246" 246 1 1
"247" 247 2 2
"248" 248 1 1
"249" 249 1 1
"250" 250 1 1
"251" 251 1 1
"252" 252 3 3
"253" 253 2 2
"254" 254 5 5
"255" 255 1 1
"256" 256 7 7
"257" 257 1 1
"258" 258 7 7
"259" 259 1 1
"260" 260 7 7
"261" 261 1 1
"262" 262 5 5
"263" 263 7 7
"264" 264 1 1
"265" 265 6 6
"266" 266 2 2
"267" 267 7 7
"268" 268 1 1
"269" 269 1 1
"270" 270 2 2
"271" 271 3 3
"272" 272 2 2
"273" 273 7 7
"274" 274 7 7
"275" 275 1 1
"276" 276 7 7
"277" 277 7 7
"278" 278 7 7
"279" 279 1 1
"280" 280 1 1
"281" 281 5 5
"282" 282 2 2
"283" 283 2 2
"284" 284 2 2
"285" 285 1 1
"286" 286 1 1
"287" 287 1 1
"288" 288 1 1
"289" 289 1 1
"290" 290 2 2
"291" 291 1 1
"292" 292 1 1
"293" 293 1 1
"294" 294 1 1
"295" 295 1 1
"296" 296 1 1
"297" 297 1 1
"298" 298 2 2
"299" 299 7 7
"300" 300 2 2
"301" 301 1 1
"302" 302 5 5
"303" 303 1 1
"304" 304 1 1
"305" 305 2 2
"306" 306 1 1
"307" 307 1 1
"308" 308 1 1
"309" 309 7 7
"310" 310 2 2
"311" 311 1 1
"312" 312 1 1
"313" 313 1 1
"314" 314 2 2
"315" 315 2 2
"316" 316 1 1
"317" 317 1 1
"318" 318 2 2
"319" 319 1 1
"320" 320 1 1
"321" 321 1 1
"322" 322 1 1
"323" 323 7 7
"324" 324 7 7
"325" 325 7 7
"326" 326 7 7
"327" 327 1 1
"328" 328 2 2
"329" 329 1 1
"330" 330 1 1
"331" 331 7 7
"332" 332 5 5
"333" 333 2 2
"334" 334 7 7
"335" 335 7 7
"336" 336 1 1
"337" 337 2 2
"338" 338 6 6
"339" 339 1 1
"340" 340 1 1
"341" 341 7 7
"342" 342 1 1
"343" 343 1 1
"344" 344 1 1
"345" 345 1 1
"346" 346 1 1
"347" 347 5 5
"348" 348 1 1
"349" 349 7 7
"350" 350 1 1
"351" 351 1 1
"352" 352 1 1
"353" 353 1 1
"354" 354 1 1
"355" 355 7 7
"356" 356 6 6
"357" 357 7 7
"358" 358 4 4
"359" 359 1 1
"360" 360 1 1
"361" 361 3 3
"362" 362 1 1
"363" 363 5 5
"364" 364 7 7
"365" 365 1 1
"366" 366 1 1
"367" 367 7 7
"368" 368 5 5
"369" 369 1 1
"370" 370 2 2
"371" 371 2 2
"372" 372 1 1
"373" 373 1 1
"374" 374 7 7
"375" 375 7 7
"376" 376 1 1
"377" 377 3 3
"378" 378 1 1
"379" 379 7 7
"380" 380 1 1
"381" 381 1 1
"382" 382 1 1
"383" 383 7 7
"384" 384 7 7
"385" 385 6 6
"386" 386 7 7
"387" 387 1 1
"388" 388 1 1
"389" 389 3 3
"390" 390 2 2
"391" 391 1 1
"392" 392 7 7
"393" 393 1 1
"394" 394 1 1
"395" 395 1 1
"396" 396 5 5
"397" 397 1 1
"398" 398 1 1
"399" 399 7 7
"400" 400 2 2
"401" 401 1 1
"402" 402 1 1
"403" 403 1 1
"404" 404 1 1
"405" 405 1 1
"406" 406 1 1
"407" 407 1 1
"408" 408 1 1
"409" 409 1 1
"410" 410 1 1
"411" 411 2 2
"412" 412 1 1
"413" 413 1 1
"414" 414 6 6
"415" 415 1 1
"416" 416 7 7
"417" 417 5 5
"418" 418 4 4
"419" 419 2 2
"420" 420 7 7
"421" 421 1 1
"422" 422 2 2
"423" 423 7 7
"424" 424 7 7
"425" 425 1 1
"426" 426 7 7
"427" 427 7 7
"428" 428 5 5
"429" 429 1 1
"430" 430 7 7
"431" 431 7 7
"432" 432 1 1
"433" 433 1 1
"434" 434 1 1
"435" 435 1 1
"436" 436 2 2
"437" 437 7 7
"438" 438 2 2
"439" 439 7 7
"440" 440 1 1
"441" 441 1 1
"442" 442 6 6
"443" 443 1 1
"444" 444 1 1
"445" 445 1 1
"446" 446 1 1
"447" 447 1 1
"448" 448 7 7
"449" 449 1 1
"450" 450 2 2
"451" 451 2 2
"452" 452 2 2
"453" 453 1 1
"454" 454 2 2
"455" 455 6 6
"456" 456 5 5
"457" 457 1 1
"458" 458 2 2
"459" 459 7 7
"460" 460 1 1
"461" 461 1 1
"462" 462 1 1
"463" 463 1 1
"464" 464 6 6
"465" 465 1 1
"466" 466 7 7
"467" 467 1 1
"468" 468 1 1
"469" 469 1 1
"470" 470 2 2
"471" 471 2 2
"472" 472 1 1
"473" 473 1 1
"474" 474 1 1
"475" 475 1 1
"476" 476 1 1
"477" 477 1 1
"478" 478 6 6
"479" 479 7 7
"480" 480 7 7
"481" 481 5 5
"482" 482 7 7
"483" 483 1 1
"484" 484 1 1
"485" 485 2 2
"486" 486 1 1
"487" 487 1 1
"488" 488 1 1
"489" 489 1 1
"490" 490 1 1
"491" 491 1 1
"492" 492 7 7
"493" 493 2 2
"494" 494 6 6
"495" 495 7 7
"496" 496 1 1
"497" 497 1 1
"498" 498 2 2
"499" 499 1 1
"500" 500 2 2
"501" 501 1 1
"502" 502 1 1
"503" 503 7 7
"504" 504 7 7
"505" 505 1 1
"506" 506 1 1
"507" 507 1 1
"508" 508 1 1
"509" 509 7 7
"510" 510 2 2
"511" 511 1 1
"512" 512 1 1
"513" 513 1 1
"514" 514 1 1
"515" 515 2 2
"516" 516 1 1
"517" 517 1 1
"518" 518 1 1
"519" 519 7 7
"520" 520 1 1
"521" 521 1 1
"522" 522 7 7
"523" 523 1 1
"524" 524 2 2
"525" 525 2 2
"526" 526 1 1
"527" 527 6 6
"528" 528 1 1
"529" 529 7 7
"530" 530 1 1
"531" 531 5 5
"532" 532 7 7
"533" 533 1 1
"534" 534 7 7
"535" 535 6 6
"536" 536 1 1
"537" 537 7 7
"538" 538 7 7
"539" 539 1 1
